0.12.41         Do not leak weak mods from tap dance to the interrupting keypress (#12471)
0.12.42         Align drivers.txt with toolbox (#12741)
0.12.43         Allow <keyboard>.h to be optional when going data driven (#12706)
0.12.44         Fix qmk flash on FreeBSD (#12085)
0.12.45         Add a handful of consumer/gendesk page usages (#12811)
0.12.46         haptic: correct size of reserved field in the haptic structure. This saves 1 byte of wasted SRAM. (#12483)
0.12.47         [CI] Format code according to conventions (#12838)
0.12.48         Improve EEPROM defaults for Dynamic Keymaps (#12853)
0.12.49         Allow for overriding clocks on F4xx. (#12886)
0.12.5          Add support for using podman to util/docker_build.sh (#10819)
0.12.50         Align our subprocess usage with current best practices. (#12940)
0.12.51         Keyboard: Planck THK (#12597)
0.12.52         2021 May 29 Breaking Changes Update (#13034)
0.12.6          Modified tmk_core/rules.mk to avoid linking errors (#10728)
0.12.7          Extract sendstring into its own compilation unit (#12060)
0.12.8          Migrate make_dfu_header to CLI (#12061)
0.12.9          Set default for USB_SUSPEND_WAKEUP_DELAY to 0/disabled (#12081)
0.13.0          2021 May 29 Breaking Changes Update (#13034)
0.13.1          Fix up WS2812 SPI driver on F072. (#13022)
0.13.10         OLED driver tweaks (#13215)
0.13.11         Add Mac centric Shift and Alt + GUI Macros (#13107)
0.13.12         OLED font easter egg (#13269)
0.13.13         Fix zero condition of reactive runners that will suspend RGB animation (#12710)
0.13.14         Optional OLED splash screen  and fixed OLED i2c execution time saving (#12294)
0.13.15         Allow configuration of USB_VBUS_PIN on chibios (#13342)
0.13.16         Cleanup junk chars, part 4 (#13345)
0.13.17         Add "Ctrl+C to cancel" to "waiting for bootloader" messages (#13424)
0.13.18         Update `MSG_PYTHON_MISSING` (#13427)
0.13.19         /bin/bash to /usr/bin/env bash (#13422)
0.13.2          Tidy up spi_master includes (#13053)
0.13.20         remove `#include "rgblight.h"` when `defined(RGB_MATRIX_ENABLE)` from quantum.h (#13555)
0.13.21         Migrate arm_atsam print logic to use common framework (#13554)
0.13.22         remove `RGBLIGHT_H_DUMMY_DEFINE` macro from rgblight.h (#13569)
0.13.23         Adds Swedish Mac ISO and ANSI keymaps (#13055)
0.13.24         Implement GPIO abstraction for atsam (#13567)
0.13.25         Refactor some platform dependent logic (#13675)
0.13.26         Allow output of logging when running unit tests (#13556)
0.13.27         Update "make format" message (#13741)
0.13.28         Fix unit tests after recent refactor (#13765)
0.13.29         flash_stm32: don't unlock flash if already unlocked (#13841)
0.13.3          Set `BOOTLOADER = stm32-dfu` for all applicable STM32 boards (#12956)
0.13.30         Fix overflows in WPM calculations (#13128)
0.13.31         Add bootloader section to keyboard template (#13774)
0.13.32         Avoid name conflicts with usb_hid Arduino code (#13870)
0.13.33         Add padding to LUFA-MS .BIN files (#13922)
0.13.34         Fix shell port bug in computation of QMK_FIRMWARE_DIR (#13950)
0.13.35         Fix AT90USB64/128 bootloaders (#14064)
